Device,FQN,Vendor,OS,"OS Version",Model,"Management Address",Source,"Command Files"
frpardo1swi002,frpardo1swi002.hm.com,Cisco,IOS,15.0(2)EX4,WS-C2960X-24PD-L,10.20.2.149,managed,31
frpardo1swi003,frpardo1swi003.hm.com,Cisco,XE,3.6.6E,WS-C3650-48PD,10.20.2.150,managed,34
frparsh1hap401,frparsh1hap401,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.29.106,cdp,0
frparsh1hap402,frparsh1hap402,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.29.251,cdp,0
frparsh1hap403,frparsh1hap403.hm.com,Cisco,IOS,15.3(3)JF10,AIR-CAP2702E-E-K9,10.40.29.178,cdp,0
frparsh1rtr001,"frparsh1rtr001.vrf MGMT hm.com",Cisco,XE,16.6.4,C1111-8PWE,10.20.13.156,managed,35
frparsh1swi001,frparsh1swi001.hm.com,Cisco,IOS,12.2(50)SE4,WS-C3750V2-24PS,10.20.7.51,managed,32
frparso1cgi001,frparso1cgi001,Cisco,Unknown,"Not Found","Linux Server",10.40.217.13,managed,0
frparso1hap501,frparso1hap501,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.235,cdp,0
frparso1hap502,frparso1hap502,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.80,cdp,0
frparso1hap503,frparso1hap503,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.177,cdp,0
frparso1hap504,frparso1hap504,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.250,cdp,0
frparso1hap505,frparso1hap505,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.142,cdp,0
frparso1hap506,frparso1hap506,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.124,cdp,0
frparso1hap507,frparso1hap507,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.74,cdp,0
frparso1hap601,frparso1hap601,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.86,cdp,0
frparso1hap602,frparso1hap602,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.117,cdp,0
frparso1hap603,frparso1hap603,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.95,cdp,0
frparso1hap604,frparso1hap604,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.166,cdp,0
frparso1hap605,frparso1hap605,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.3.111,cdp,0
frparso1rtr001,"frparso1rtr001.vrf MGMT hm.com",Cisco,XE,15.5(3)S5,ISR4451-X/K9,10.20.14.84,managed,35
frparso1sfe001,frparso1sfe001,unknown,unknown,unknown,SF2000,10.186.61.5,cdp,0
frparso1swi001,frparso1swi001.hm.com,Cisco,XE,3.6.6E,WS-C3650-48PD,10.20.3.197,managed,34
frparso1swi002,frparso1swi002.hm.com,Cisco,XE,3.6.6E,WS-C3650-48PD,10.20.3.198,managed,34
frstrao1hap201,frstrao1hap201,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.9.83,cdp,0
frstrao1hap202,frstrao1hap202,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.40.9.15,cdp,0
frstrao1rtr001,frstrao1rtr001,Cisco,IOS,16.6.4,C1111-8PWE,10.40.9.2,cdp,0
frstrao1swi001,frstrao1swi001.hm.com,Cisco,IOS,15.0(2)EX5,WS-C2960X-24PD-L,10.20.6.211,managed,31
gbbirao5hap001,gbbirao5hap001,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.8.77,cdp,0
gbbirao5hap002,gbbirao5hap002,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.8.66,cdp,0
gbbirao5hap003,gbbirao5hap003,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.8.67,cdp,0
gbbirao5rtr001,"gbbirao5rtr001.vrf MGMT hm.com",Cisco,XE,15.5(3)S5,ISR4331/K9,10.20.15.68,managed,35
gbbirao5swi001,gbbirao5swi001.hm.com,Cisco,XE,3.6.6E,WS-C3650-24PD,10.20.2.54,managed,34
gbcarao3rtr001,"gbcarao3rtr001.vrf MGMT hm.com",Cisco,XE,15.5(3)S5,ISR4331/K9,10.15.23.130,managed,35
gbcarao3swi001,gbcarao3swi001.hm.com,Cisco,IOS,03.03.05SE,WS-C3650-24PD,10.20.12.27,cdp,0
