Device,Vendor,OS,Model,"OS Version",Tag,VRF,Net,Network
sesthcc4lsr100,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1060.00,10.247.0.120/30
sesthcc4lsr100,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1060.00,10.247.8.4/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.2.32/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.8.8/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.0.160/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.0.200/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.8.0/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.8.28/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.8.32/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.8.16/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.0.228/30
sesthcc4lsr101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1061.00,10.247.1.61/32
sesthho1ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.6700.0050.00,10.247.0.160/30
sesthho1ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.6700.0050.00,10.67.0.50/32
sesthho1ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.6700.0050.00,10.247.0.164/30
sesthho1ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.6700.0050.00,10.164.252.24/31
sesthit1ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.6200.0050.00,10.247.0.120/30
sesthit1ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.6200.0050.00,10.62.0.50/32
sesthit1ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.6200.0050.00,10.247.0.124/30
sesthit2ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.1600.0050.00,10.247.0.200/30
sesthit2ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.1600.0050.00,10.160.1.64/30
sesthit2ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.1600.0050.00,10.247.0.204/30
sesthit2ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.1600.0050.00,10.160.1.68/30
sesthit2ler101,Cisco,IOS,C6880-X-LE,15.2(1)SY5,STHLM,default,49.0001.0100.1600.0050.00,10.160.0.50/32
sgsincc1gps101,Cisco,XE,WS-C3850-24XS,16.6.4,SIN,default,49.0100.0020.7065.00,10.0.207.134/31
sgsincc1gps101,Cisco,XE,WS-C3850-24XS,16.6.4,SIN,default,49.0100.0020.7065.00,10.0.207.65/32
sgsincc1gps201,Cisco,XE,WS-C3850-24XS,16.6.4,SIN,default,49.0100.0020.7073.00,10.0.207.73/32
sgsincc1gps201,Cisco,XE,WS-C3850-24XS,16.6.4,SIN,default,49.0100.0020.7073.00,10.0.207.134/31
usmiacc1gpr101,Cisco,XE,ASR1001-X,15.5(3)S5,MIA-REGION,default,49.0100.0009.8001.00,10.0.98.1/32
usmiacc1gpr101,Cisco,XE,ASR1001-X,15.5(3)S5,MIA-REGION,default,49.0100.0009.8001.00,10.0.111.128/31
usmiacc1gpr201,Cisco,XE,ASR1001-X,15.5(3)S5,MIA-REGION,default,49.0100.0009.8002.00,10.0.111.128/31
usmiacc1gpr201,Cisco,XE,ASR1001-X,15.5(3)S5,MIA-REGION,default,49.0100.0009.8002.00,10.0.98.2/32
usmiacc1gps101,Cisco,XE,WS-C3850-24XS,16.6.5,MIA,default,49.0100.0011.1065.00,10.0.111.65/32
usmiacc1gps101,Cisco,XE,WS-C3850-24XS,16.6.5,MIA,default,49.0100.0011.1065.00,10.0.111.134/31
usmiacc1gps201,Cisco,XE,WS-C3850-24XS,16.6.4,MIA,default,49.0100.0011.1073.00,10.0.111.73/32
usmiacc1gps201,Cisco,XE,WS-C3850-24XS,16.6.4,MIA,default,49.0100.0011.1073.00,10.0.111.134/31
usseccc1gps101,Cisco,XE,WS-C3850-24XS,16.6.4,SEC,default,49.0100.0007.9065.00,10.0.79.65/32
usseccc1gps101,Cisco,XE,WS-C3850-24XS,16.6.4,SEC,default,49.0100.0007.9065.00,10.0.79.134/31
usseccc1gps201,Cisco,XE,WS-C3850-24XS,16.6.4,SEC,default,49.0100.0007.9073.00,10.0.79.73/32
usseccc1gps201,Cisco,XE,WS-C3850-24XS,16.6.4,SEC,default,49.0100.0007.9073.00,10.0.79.134/31
