name,category,strucBreaks
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]encapsulation-failure-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]unresolved-prefix-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]unsupported-feature-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]discard-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]checksum-error-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]fragmenation-consumed-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]fragmenation-failure-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]null-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]rpf-check-failure-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]acl-in-rpf-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]rp-destination-drop-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]total-number-of-drop-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]mpls-disabled-interface,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]gre-lookup-failed-drop,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]gre-error-drop,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]lisp-punt-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]lisp-encap-error-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]lisp-decap-error-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]multi-label-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]unreachable-sr-label-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/0/CPU0]ttl-expired-sr-label-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]no-route-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]punt-unreachable-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]df-unreachable-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]encapsulation-failure-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]incomplete-adjacency-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]unresolved-prefix-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]unsupported-feature-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]discard-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]checksum-error-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]fragmenation-consumed-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]fragmenation-failure-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]null-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]rpf-check-failure-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]acl-in-rpf-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]rp-destination-drop-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]total-number-of-drop-packets,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]mpls-disabled-interface,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]gre-lookup-failed-drop,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]gre-error-drop,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]lisp-punt-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]lisp-encap-error-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]lisp-decap-error-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]multi-label-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]unreachable-sr-label-drops,Constant Slopes,
Cisco-IOS-XR-fib-common-oper:fib-statistics/nodes/node/drops[node-name:0/RP0/CPU0]ttl-expired-sr-label-drops,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__format-errors,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__truncated-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__hop-count-exceeded-packets0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__bad-header-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__unknown-protocol-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__fragments,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__reassembled-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__reassembly-failures,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__reassembly-maximum-drops,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__forwarded-packets,Constant Slopes,
