contribution,li name,event
0.06855226910093236,DUK,1
0.06169489675995349,NKTR,1
0.061231467366355596,FANG,1
0.05384694168304659,PVH,1
0.04756451160384062,BRO,1
0.04704884423778468,OFC,1
0.03977847814975439,GD,1
0.03822507017229662,WM,1
0.037273574964317165,ACN,1
0.036895696335887795,AVGO,1
0.036725279551366515,BKH,1
0.03550021238878735,LGND,1
0.033242839881529186,EWBC,1
0.03195038650400768,NLS,1
0.030216860725481413,HLF,1
0.023489089864850862,BK,1
0.019753592675541557,GIL,1
0.018892490587177218,CMC,1
0.016466165413533837,DDS,1
0.01583408524756892,BGS,1
0.0075,TTEK,1
0.006666666666666667,PCAR,1
0.006571428571428572,MSM,1
0.00619003268866626,XYL,1
0.005,AGEN,1
0.005,FAST,1
0.005,HL,1
0.005,PRU,1
0.0049948719447614025,RJF,1
0.003994921936342816,MT,1
0.0037857142857142855,APTV,1
0.003328295044270025,EXPO,1
0.003157911677853859,SYNA,1
0.0031450367719233273,YRCW,1
0.003020730228615498,PZN,1
0.002919298771136118,FDX,1
0.002691881604546911,HSII,1
0.0025104211922626174,ARNC,1
0.002483484921186514,CL,1
0.002368421052631579,MGI,1
0.0021048775785617894,KRO,1
0.0020476190476190477,NCZ,1
0.0019476743899307031,PEAK,1
0.0019166666666666668,ANTM,1
0.0019047619047619048,SJM,1
0.0018623481781376515,PLAB,1
0.0018508495357941151,INTC,1
0.0018400398327304832,HYI,1
0.001837830831272285,CVX,1
0.0018333333333333335,PGTI,1
0.0018123905080426816,ROCK,1
0.0017142857142857142,HCC,1
0.0016666666666666668,MXIM,1
0.0016666666666666668,PFG,1
0.0016666666666666668,RDWR,1
0.0016666666666666668,RMBS,1
0.0016666666666666663,MDCA,1
0.0015584415584415584,CERN,1
0.0015000000000000002,CRUS,1
0.0015000000000000002,FLEX,1
0.0015000000000000002,GRMN,1
0.0015000000000000002,MVIS,1
0.0015000000000000002,SMP,1
0.0014423076923076922,FDP,1
0.0014217235923308753,UAL,1
0.001381578947368421,FCN,1
0.0013607338569479204,PKE,1
0.0013283136385220465,CYH,1
0.0013235294117647058,SHOO,1
0.0013085219989129155,FISV,1
0.00125,SLG,1
0.0012065223250502573,PKO,1
0.0011904761904761904,CAT,1
0.0011831993154829258,AMCR,1
0.001125,LRCX,1
